id,id_calon,judul,url_video,tanggal_direkam,tanggal_upload
0001,ps,Prabowo Subianto: Orasi Politik Prabowo Subianto pada Hari Buruh,http://www.youtube.com/watch?v=UH73XrMKxUI,2014-05-01,2014-05-01
0002,ps,Pidato Letjen TNI Prabowo Subianto satu bulan sebelum Presiden Soeharto Lengser pada acara Syukuran Pangkostrad,http://www.youtube.com/watch?v=0aWF8S9HJCw,1998-04-21,2013-05-13
0003,ps,"Prabowo Subianto berbicara dengan Dalton Tanonaka mengenai keinginannya menjadi presiden Republik Indonesia, kepergiannya ke Jordan tahun 1998, berakhirnya dukungan Prabowo kepada SBY, pesan yang ingin disampaikan dengan Partai Gerindra, kerusuhan 1998, penculikan aktivis demokrasi 1998, tuduhan kekerasan terhadap suku Cina, visa Amerika, dan orang-orang yang mempengaruhi cara berpikir Prabowo. Direkam tahun 2008.",http://www.youtube.com/watch?v=08SMkHVMK3E,2008,2011-12-05
0004,ps,Prabowo Subianto marah & sindir Jokowi,http://www.youtube.com/watch?v=C3AyUKB-TVo,2014,2014-03-29
0005,ps,Inilah Pidato Prabowo Subianto Melawan Para Koruptor,http://www.youtube.com/watch?v=lqFMtjxd7Ws,,2014-05-19
0006,ps,"Jokowi Calon Presiden, Prabowo Sakit Hati",http://www.youtube.com/watch?v=dCYst1N6lyM,2014,2014-03-16
0007,ps,Kandidat Presiden Indonesia Defensif soal Catatan HAM Masa Lalu,http://www.youtube.com/watch?v=hJhPlh4njH0,,2013-09-29
0008,ps,"NET TV: Prabowo Subianto, Calon Presiden RI 2014",http://www.youtube.com/watch?v=CXdFdP8rCTY&list=PL6C5D9CFB279B5977,,2014-02-11
0009,ps,40 Menit Bersama Prabowo - Exclusive Jawa Pos TV (JTV),http://www.youtube.com/watch?v=QfayB-Qhgts&index=2&list=PL6C5D9CFB279B5977,,2014-03-16
0010,ps,Talk to Al Jazeera: Prabowo Subianto,http://www.youtube.com/watch?v=9hjzw-GutU0&list=PL6C5D9CFB279B5977&index=3,,2013-10-21
0011,ps,Prabowo Subianto: Membangun Kembali Indonesia,http://www.youtube.com/watch?v=WkOHCMUPbpo&list=PL6C5D9CFB279B5977&index=7,,2011-12-03
0012,ps,Sambutan Prabowo Subianto di Rakernas TIDAR,http://www.youtube.com/watch?v=EO8Z7WKQvxA&index=9&list=PL6C5D9CFB279B5977,,2011-11-26
0013,ps,Prabowo Subianto di Kongres Luar Biasa Partai Gerindra (17 Maret 2012),http://www.youtube.com/watch?v=ZBroD-5tnlM&list=PL6C5D9CFB279B5977&index=10,,2011-03-20
0014,ps,Cuplikan wawancara Prabowo Subianto dgn Channel News Asia,http://www.youtube.com/watch?v=l_DBGE7Dqto,,2012-11-29
0015,ps,Pemaparan Prabowo di Acara Indonesian Young Leaders Forum HIPMI 2013,http://www.youtube.com/watch?v=um8mKClbMXI,,2013-06-07
0016,ps,Pidato Prabowo Subianto; Uang Negara Bocor Rp 1000 Trilliun/Tahun,http://www.youtube.com/watch?v=m_hJ1ZnN3Zc,,2014-03-10
0017,ps,Profil Singkat Prabowo Subianto (Macan Asia),http://www.youtube.com/watch?v=mM8B8vuIkbE,,2014-05-19
0018,ps,Prabowo: Waktu Kecil Saya pernah Dihina Anak Kulit Putih,http://www.youtube.com/watch?v=3vEVZt0M1YY,,2014-09-16
0019,ps,Prabowo dan gerindra-Untuk Indonesia Bangkit 2014!,http://www.youtube.com/watch?v=WfaTjp8Qj_s&list=PL2D0FAC2033D9CEBA,,2014-01-19
0020,ps,Gerindra: 2014 tahun perobahan!,http://www.youtube.com/watch?v=x6fccHZuRM4&list=PL2D0FAC2033D9CEBA,,2014-01-14
0021,ps,Visi dan Misi Prabowo untuk Indonesia,http://www.youtube.com/watch?v=KcRy4r0jFqU,,2014-05-09
0022,ps,Prabowo: Anak Buruh Harus Bisa Jadi Jendral,http://www.youtube.com/watch?v=1o8KTyekFcg,,2014-05-01
0023,ps,Prabowo: Kita Tidak mau Jadi Bangsa kacung,http://www.youtube.com/watch?v=uDg1nsViIp8,,2014-04-24
0024,ps,Prabowo: Pemimpin-pemimpin yang Membawa Transformasi Yang Besar Belum Tentu Pakar Ekonomi,http://www.youtube.com/watch?v=gmjceV1NNeM,,2014-01-21
0025,ps,Prabowo: Apa Perlu Kita Undang Belanda Lagi?,http://www.youtube.com/watch?v=Vr4UwDK9rZ8,,2014-01-21
0026,ps,Prabowo: Pemimpin Harus Siap Tidak Populer,http://www.youtube.com/watch?v=yDxZ7vZ8uck,,2014-01-21
0027,ps,"Prabowo: perubahan ""agak menakutkan""",http://www.youtube.com/watch?v=H9_E6PkE8BI,,2014-01-21
0028,ps,Prabowo: Sebagai Patriot Jiwa pun Harus Kau Relakan Untuk Bangsa Dan Negara,http://www.youtube.com/watch?v=gIKV-Im5gpM,,2014-01-21
0029,ps,dialog radio interaktif prabowo,http://www.youtube.com/watch?v=m8uObi4q6BI,,2013-10-18
0030,ps,perjuangan prabowo: indonesia bersih,http://www.youtube.com/watch?v=xo7zhb3P604,,2013-05-02
0031,ps,perjuangan prabowo: perubahan indonesia,https://www.youtube.com/watch?v=4TzzhERfKFk,,2013-05-02
0032,"jw,ps",Jokowi atau Prabowo Mata Najwa FULL,http://www.youtube.com/watch?v=IJbNrz43hcg,,2014-05-31
0033,jw,"Jokowi ""Indonesian Rock Leader""",http://www.youtube.com/watch?v=Ke4CDxcqork,2014,2014-04-05
