id,id_calon,kutipan,context_kutipan,tanggal,nama_sumber,judul_sumber,excerpt_sumber,url_sumber,format
0001,jw,"Buat saya yang sudah 4 kali Pilkada, ditekan seperti ini, diserang dan dicemooh sudah setiap hari. Aku rapopo",Saling sindir antar politisi menjelang pemungutan suara,2014-03-25,kaskus.co.id,kutipan-kutipan pak Jokowi,"Senin (24/3) lalu kepada wartawan calon presiden dari Partai Demokrasi Indonesia Perjuangan Joko Widodo dikonfirmasi mengenai sejumlah serangan yang diarahkan ke dia. Namun pria yang akrab disapa Jokowi itu hanya menjawab, ""Aku rapopo"".",http://news.detik.com/pemilu2014/read/2014/03/26/104354/2536960/1562/jokowi-aku-rapopo-prabowo-saya-juga-rapopo,
0002,jw,Saya pekerja bukan politisi,,2012-12-11,kaskus.co.id,kutipan-kutipan pak Jokowi,,http://www.kaskus.co.id/thread/50c6fb7a7b12430943000016/kutipan-kutipan-pak-joko-widodo-jokowi,
0003,jw,"Saya tidak peduli dengan penilaian orang lain, yang penting saya bekerja",,2012-12-11,kaskus.co.id,kutipan-kutipan pak Jokowi,,http://www.kaskus.co.id/thread/50c6fb7a7b12430943000016/kutipan-kutipan-pak-joko-widodo-jokowi,
0004,jw,"Saya tidak mau memuji diri sendiri, tidak baik",,2012-12-11,kaskus.co.id,kutipan-kutipan pak Jokowi,,http://www.kaskus.co.id/thread/50c6fb7a7b12430943000016/kutipan-kutipan-pak-joko-widodo-jokowi,
0005,jw,Amanah itu saya terima dengan sepenuh hati dan dengan penuh tanggung jawab saya,,2012-12-11,kaskus.co.id,kutipan-kutipan pak Jokowi,,http://www.kaskus.co.id/thread/50c6fb7a7b12430943000016/kutipan-kutipan-pak-joko-widodo-jokowi,
0006,jw,Ini semua rasa berterimakasih saya terhadap bangsa saya. Bangsa Indonesia,,2012-12-11,kaskus.co.id,kutipan-kutipan pak Jokowi,,http://www.kaskus.co.id/thread/50c6fb7a7b12430943000016/kutipan-kutipan-pak-joko-widodo-jokowi,
0007,jw,"Hidup adalah tantangan, jangan dengarkan omongan orang. Yang penting kerja, kerja dan kerja",,2012-12-11,kaskus.co.id,kutipan-kutipan pak Jokowi,,http://www.kaskus.co.id/thread/50c6fb7a7b12430943000016/kutipan-kutipan-pak-joko-widodo-jokowi,
0008,jw,"kerja akan menghasilkan sesuatu, sedangkan omongan orang lain hanya menghasilkan alasan",,2012-12-11,kaskus.co.id,kutipan-kutipan pak Jokowi,,http://www.kaskus.co.id/thread/50c6fb7a7b12430943000016/kutipan-kutipan-pak-joko-widodo-jokowi,
0009,jw,"Menegaskan penting dan strategisnya kesejahteraan rakyat dengan stabilitas politik dan pertumbuhan ekonomi. Mari satu padu melaksanakan pembangunan ekonomi, fisik, spiritual, pendidikan, serta meningkatkan investor dan dunia usaha",Jokowi berpidato dalam peringatan hari kemerdekaan yang digelar Pemprov DKI,2013-08-17,news.detik.com,Pidato Jokowi di Hari Kemerdekaan: Kutipan Soekarno dan Kestabilan Politik,"""Menegaskan penting dan strategisnya kesejahteraan rakyat dengan stabilitas politik dan pertumbuhan ekonomi. Mari satu padu melaksanakan pembangunan ekonomi, fisik, spiritual, pendidikan, serta meningkatkan investor dan dunia usaha,"" ujar Jokowi di Silang Monas, Jakarta Pusat, Sabtu (17/8/2013).",http://news.detik.com/read/2013/08/17/091942/2332712/10/pidato-jokowi-di-hari-kemerdekaan-kutipan-soekarno-dan-kestabilan-politik?nd771104bcj,artikel
0010,jw,"Bank petani harus ada. Jangan mencari uang di rentenir. Bunganya mencekik leher, ujar Jokowi di alun-alun Kabupaten Subang, Jawa Barat, Minggu (18/5/2014) siang","Calon presiden yang diusung Partai Demokrasi Indonesia Perjuangan Joko Widodo prihatin atas kondisi pertanian di Indonesia. Dia mengatakan, harus ada bank untuk mengakomodir kebutuhan para petani.",2014-05-19,Kompas.com,Jokowi: Harus Ada Bank untuk Petani,"""Ini tugas pemerintah ke depan. Kita itu harus swasembada pangan. Kalau lahan berubah anak-anak kita mau makan apa,"" ujar Jokowi. ""Infrastruktur harus dibangun sebanyak-banyaknya. Jangan yang dibangun mal terus, itu mendorong konsumtif. Harusnya produksi yang ditekankan,"" lanjut Jokowi.",http://indonesiasatu.kompas.com/read/2014/05/19/0744103/Jokowi.Harus.Ada.Bank.untuk.Petani,
0011,jw,Yang pasti kita ingin melihat keinginan masyarakat. Karena nanti (masyarakat) yang menentukan. Kita mendengar keinginan masyarakat,Jokowi berbicara soal cawapres yang akan mendampinginya,2014-05-18,liputan6.com,Jokowi Pilih Cawapres Berdasarkan Elektabilitasnya?,"Apakah maksud Jokowi itu melihat tingkat elektabilitas figur cawapres-nya? ""Yang pasti kita ingin melihat keinginan masyarakat. Karena nanti (masyarakat) yang menentukan. Kita mendengar keinginan masyarakat,"" ujar Jokowi di alun-alun Kabupaten Subang, Jawa Barat, Minggu (18/5/2014).",http://indonesia-baru.liputan6.com/read/2051248/jokowi-pilih-cawapres-berdasarkan-elektabilitasnya,
0012,jw,"Setelah melalui pertemuan dan konsultasi dengan partai pendukung, PDI Perjuangan, Partai Nasdem, Partai Kebangkitan Bangsa, dan Partai Hanura, serta pertimbangan dari Ibu Megawati Soekarkoputri, tadi malam telah kami putuskan, calon wakil presiden yang akan mendampingi saya adalah Bapak Drs Haji Mohammad Jusuf Kalla.",Penetapan Cawapres Jokowi untuk Pilpres 2014,2014-05-19,Kompas.com,Jokowi: Cawapres Saya Jusuf Kalla,"Bakal calon presiden dari Partai Demokrasi Indonesia Perjuangan, Joko Widodo, menyatakan bahwa Jusuf Kalla adalah bakal calon wakil presiden yang akan mendampinginya dalam Pemilu Presiden 2014. Pengumuman bakal cawapres Jokowi sekaligus deklarasi berlangsung di Gedung Joang, Jakarta Pusat, Senin (19/5/2014).",http://indonesiasatu.kompas.com/read/2014/05/19/1203166/jokowi.cawapres.saya.jusuf.kalla?utm_source=WP&utm_medium=box&utm_campaign=Khlwp,artikel
0013,jw,Peningkatan alokasi anggaran TNI dan Polri demi pertahanan negara dan kesejahteraan. Itu sangat penting,Joko Widodo alias Jokowi berjanji untuk meningkatkan alokasi anggaran bagi TNI dan Kepolisian RI sebesar tiga kali lipat,2014-06-04,IndonesiaSatu.com,Jokowi Janjikan Tambah Anggaran TNI-Polri Tiga Kali Lipat,,http://indonesiasatu.kompas.com/read/2014/06/04/0826253/jokowi.janjikan.tambah.anggaran.tni-polri.tiga.kali.lipat?utm_source=WP&utm_medium=box&utm_campaign=Kknwp,
0014,jw,"Kami akan memberikan sedikit sentuhan hi-tech pada alutsista kita,",Joko Widodo alias Jokowi berjanji untuk meningkatkan alokasi anggaran bagi TNI dan Kepolisian RI sebesar tiga kali lipat,,,,,http://indonesiasatu.kompas.com/read/2014/06/04/0826253/jokowi.janjikan.tambah.anggaran.tni-polri.tiga.kali.lipat?utm_source=WP&utm_medium=box&utm_campaign=Kknwp,
0015,jw,"2 ( DUA ) adalah Isyarat Keseimbangan, seperti juga Alam, ada siang - ada Malam, ada Bulan - ada Matahari, ada Tanah -ada Air.",,2014-06-01,twitter.com,,,https://twitter.com/jokowi_do2/status/473108664492912640,
0016,jw,Saya Ini Petarung,,2014-06-02,kompas.com,Jokowi:saya ini petarung,"Calon presiden Joko ""Jokowi"" Widodo menegaskan bahwa dirinya tidak takut menghadapi pemilu presiden pada 9 Juli 2014.",http://nasional.kompas.com/read/2014/06/02/2048022/Jokowi.Saya.Ini.Petarung.,
0017,jw,"Masak, negara maritim tidak punya jalur tol laut?",,2014-06-05,tempo.com,Jokowi:Masak negara Maritim tak Punya tol laut,"Calon presiden Joko Widodo kembali mengungkapkan pentingnya rencana membangun ""tol"" laut untuk menggenjot efisiensi pengiriman logistik",http://pemilu.tempo.co/read/news/2014/06/05/269582622/Jokowi-Masak-Negara-Maritim-Tak-Punya-Tol-Laut,
0018,jw,saya tak ngemis jadi capres,,2014-06-02,kompas.com,"Jokowi: Saya tak ""ngemis"" jadi presiden","Calon presiden Joko ""Jokowi"" Widodo membantah berita yang beredar bahwa ia telah melobi petinggi partai agar dicalonkan pada Pemilu Presiden 2014. Gubernur DKI Jakarta non-aktif ini menilai, pemberitaan itu aneh",http://nasional.kompas.com/read/2014/06/02/1605345/Jokowi.Saya.Tak.Ngemis.Jadi.Capres,
0019,jw,kelihatan ada orang yang ingin menjebak saya. Karena ini kelihatannya saya yang mendesain,,2014-04-15,berita jakarta,Jokowi: Kelihatan ada yang ingin menjebak saya,pencantuman nama dirinya di soal UN merupakan cara untuk menjatuhkannya. Sehingga dirinya tidak akan tinggal diam dengan temuan tersebut.,http://beritajakarta.com/read/1460/Jokowi_Kelihatan_Ada_yang_Ingin_Menjebak_Saya,
0020,jw,"kampanye hitam itu rendahan, tidak intelek, tidak cerdas",,2014-05-27,bewara.co,"jokowi: kampanye hitam itu rendahan, tidak intelek, tidak cerdas",Bakal calon presiden Joko Widodo menyatakan aksi kampanye hitam merupakan kegiatan politik yang tidak mencerdaskan masyarakat. Dia mengatakan belakangan ini kampanye hitam terhadap dia semakin gencar.,http://bewara.co/read/2014/05/jokowi-kampanye-hitam-itu-rendahan-tidak-intelek-tidak-cerdas/,
0021,jw,"Persiapan Besok(Senin),Tidur.(Jamunya) ya, temulawak",,2014-06-09,Liputan6.com,"Jelang Debat, Jokowi Bersiap dengan Temulawak dan Cukup Tidur","Meski bermodal temulawak dan tidur pulas, calon presiden Joko widodo tak gentar menantang pasangan Prabowo Subianto-Hatta Rajasa dalam debat yang diselenggarakan Komisi Pemilihan Umum di Balai Sarbini, Jakarta Selatan,Malam nanti atau senin (9/6/2014) mulai 18.30.",http://indonesia-baru.liputan6.com/read/2060374/jelang-debat-jokowi-bersiap-dengan-temulawak-dan-cukup-tidur,
0022,jw,Kreatif dong. Besok saja dilihat,,2014-06-09,KOMPAS.com,"Pukul 19.30 WIB,Prabowo-Hatta dan Jokowi-JK ikuti debat kandidat","Kedua pasangan calon menyatakan siap menghadapi debat kandidat tersebut.Joko Widodo mengaku akan mengeluarkan jurus kreatifnya dalam acara debat kandidat Capres-Cawapres,Senin (9/6/2014)",http://indonesiasatu.kompas.com/read/2014/06/09/0624090/pukul.19.30.wib.prabowo-hatta.dan.jokowi-jk.ikuti.debat.kandidat?utm_source=WP&utm_medium=box&utm_campaign=Kknwp,
0023,jw,"Apakah Inisiatif sendiri atau perintah,saya ndak tau.Engga bolehlah menduga-duga.kalau saya sih positive tinking saja.",,2014-06-09,KOMPAS.com,"Kasus Babinsa,Jokowi ""Positive Thinking""",Calon presiden Joko Widodo mengaku tetap berpikiran positif atas kasus personel Bintara Pembina Desa (Babinsa) yang mengarahkan masyarakat memilih pasangan Capres-Cawapres tertentu.ia tak mau menduga apakah tindakan anggota Babinsa atas komando atasannya atau bukan.,http://indonesiasatu.kompas.com/read/2014/06/09/0729464/Kasus.Babinsa.Jokowi.Positive.Thinking.,
0024,jw,"Saya nggak suka basa-basi,banyak ngomong.saya lebih suka kerja",,2014-06-09,Liputan6.com,Jokowi:saya nggak suka banyak ngomong,"dalam debat nanti,mantan Walikota Solo ini mengaku tak akan bertele-tele dan berlama-lama dalam menyapaikan materi debat.pria yang akrab disapa Jokowi ini meneaskan banyak omong bukanlah gaya dia",http://m.liputan6.com/indonesia-baru/read/2060578/jokowi-saya-nggak-suka-banyak-ngomong,
0025,jw,Saya katanya keturunan Singapura..wajah ndeso gini keturunan Singapura.yang percaya kebangetan itu,,2014-06-07,DetikNews,Jokowi singgung isu keturunan Singapura dan wajah ndeso dalam orasinya,Capres Joko Widodo menyinggung sejumlah hal yang disebutnya sebagai kampanye hitam.Politikus PDIP ini pun menggunakan wajah ndeso nya untuk membantah serangan terhadap dirinya,http://news.detik.com/pemilu2014/read/2014/06/07/173221/2602122/1562/jokowi-singgung-isu-keturunan-singapura-dan-wajah-ndeso-dalam-orasinya,
0026,jw,"Potensi yang ada,apakah bisa menopang daerah itu untuk mandiri ?apakah ada pendapatan asli daerah yang bisa menggerakkan ekonomi disana ?apakah dengan buka daerah baru,rakyat dapat manfaat ?atau hanya elitnya yang dapat manfaat ?karena banyak hanya elite yang dapatkan manfaat.",,2014-06-09,KBRcom,"Prabowo tanya soal pemekeran wilayah, Jokowi: intinya pemanfaatan oleh rakyat",Prabowo mengajukan pertanyaan penajaman untuk jawaban Jokowi tersebut dengan menanyakan soal kriteria yang dipakai untuk menetapkan apakah suatu daerah perlu dimekarkan atau tidak.apakah jumlah penduduk?atau luas wilayah?,http://www.portalkbr.com/berita/beritapemilu/3275266_6033.html,
0027,jw,Grogi bagaimana ?biasa saja,,2014-06-10,Liputan6.com,Jokowi puas hasil debat perdana Capres-Cawapres,saat disinggung apakah merasa grogi saat melakukan debat?Jokowi Hanya tersenyum.Justru dengan pede (percaya diri) Jokowi mengatakan tidak ada grogi dan semua biasa saja.,http://indonesia-baru.liputan6.com/read/2060859/jokowi-puas-hasil-debat-perdana-capres-cawapres,
0028,jw,"Jadi,yang diutamakan kebijakan menggeser,bukan menggusur",,2014-06-10,ANTARAnews,"Jokowi:Utamakan kebijakan menggeser,bukan menggusur","Caalon presiden Joko Widodo(Jokowi)mengatakan,pemerintah yang baik adalah pemerintah yang tidak selalu mengutamakan kebijakan untuk menggusur rakyat yang dianggap menghambat program pembangunan",http://www.antaranews.com/pemilu/berita/438323/jokowi-utamakan-kebijakan-menggeser-bukan-menggusur,
0029,jw,Kekompakan adalah amanah bagi kami,,2014-05-27,ANTARAnews,Jokowi yakin menang jika partai dan relawan kompak,Calon presiden Joko Widodo yang biasa disapa Jokowi optimis memenangkan pemilu presiden 9 Juli nanti jika partai-partai pendukung koalisi Jokowi-JK dan para relawannya kompak bergerak dilapangan,http://www.antaranews.com/pemilu/berita/436194/jokowi-yakin-menang-jika-partai-dan-relawan-kompak,
0030,jw,"Biar keren,biar keren lah.masa kita pakai yang sederhana terus,dipikirkan presidennya kuno",,2014-06-10,Metronews,"Pakai jas saat debat,Jokowi ingin terlihat seperti presiden","Jokowi menambahkan,selain agar terlihat keren,dengan memakai jas dia ingin terlihat seperti seorang presiden.",http://www.merdeka.com/politik/pakai-jas-saat-debat-jokowi-ingin-terlihat-seperti-presiden.html,
0031,jw,Gak (bertentangan).bertentangan bagaimana ?dalam pelaksanaannya mestinya supaya sampai betul-betul ke masyarakat sistemnya sistem kartu,,2014-06-12,Merdeka.com,Jokowi sebut kartu Indonesia sehat dan BPJS tak bertentangan,"Calon presiden Joko Widodo (Jokowi) mengatakan,penerapan kartu Indonesia sehat(KIS),seperti dia janjikan dalam kampanye,tidak akan berbenturan dengan Badan Penyelenggara Jaminan Sosial(BPJS).karena KIS adalah kartu yang akan dimiliki masyarakat,sebagai perpanjangan tangan BPJS",http://www.merdeka.com/politik/jokowi-sebut-kartu-indonesia-sehat-dan-bpjs-tak-bertentangan.html,
0032,jw,"Ada lagi fitnah yang menyebut bapak saya dari Singapura.Almarhum bapak saya berasal dari sebuah desa yang jaraknya 30 meter dari kota Solo,di desa Gondangrejo.",,2014-06-12,Merdeka.com,Jokowi: Masa orang kayak gini dari Singapura,"Calon presiden Joko Widodo (Jokowi) kembali mengklarifikasi sejumlah kampanye hitam yang menyerangnya dihadapan kiai kampung dan santri di Tasikmalaya,Jawa Barat",http://www.merdeka.com/politik/jokowi-masa-orang-kayak-gini-dari-singapura.html,
