id,id_calon,context_janji,janji,tanggal,judul_sumber,url_sumber
0001,jw,Tetap akan mengawal pembangunan di Jakarta,"Ya tentu saja akan mengawal, karena apa? Ini Jakarta menyangkut Jabodetabek, untuk transportasi Ini justru bisa mempercepat penyelesaian masalah-masalah yang ada",2014-03-24,merdeka.com,https://id.berita.yahoo.com/jika-jadi-presiden-jokowi-janji-tetap-benahi-jakarta-072751011.html
0002,jw,Selamatkan lahan pertanian,Jokowi mengatakan jika terpilih menjadi presiden maka ia akan fokus pada penanganan lahan untuk masyarakat. Terutama lahan yang digunakan sebagai lahan pertanian,2014-05-01,merdeka.com,https://id.berita.yahoo.com/jadi-presiden-jokowi-janji-ke-petani-selamatkan-lahan-064346728.html
0003,jw,Memperbaiki capaian kinerja pemerintahan SBY,"Calon presiden dari partai PDIP, Joko Widodo menyatakan siap memperbaiki capaian kinerja Pemerintahan pimpinan Susilo Bambang Yudhoyono (SBY)",2014-04-30,portalkbr.com,http://www.portalkbr.com/berita/beritapemilu/3229825_6033.html
0004,jw,Memperkuat pengawasan pembangunan di lapangan," jika terpilih jadi Presiden, ia akan memperkuat pengawasan pembangunan di lapangan",2014-04-30,portalkbr.com,http://www.portalkbr.com/berita/beritapemilu/3229825_6033.html
0005,jw,Kawal proyek transportasi di DKI Jakarta,"Jokowi mengatakan, dirinya akan terus mengawal keberlanjutan proyek transportasi di ibu kota bila dia terpilih menjadi presiden",2014-03-24,detik.com,http://finance.detik.com/read/2014/03/24/135820/2534728/4/jokowi-janji-kawal-proyek-transportasi-dki-bila-terpilih-jadi-ri1
0006,jw,"Tetap akan ""Blusukan""","Calon presiden dari partai PDIP, Joko Widodo menyatakan berjanji bila kelak terpilih menjadi Presiden RI, ia akan tetap blusukan seperti ketika memimpin Ibukota Jakarta",2014-04-13,suara.com,http://suara.com/news/2014/04/13/175304/jokowi-janji-tetap-blusukan-setelah-jadi-presiden-ri/
0007,jw,Akan membenahi segala permasalahan di Jakarta (terutama banjir),"Gubernur DKI Joko Widodo mengatakan dengan dirinya maju menjadi bakal calon presiden dapat membantu membenahi segala permasalahan di Jakarta, salah satunya adalah masalah banjir",2014-05-03,bisnis.com,http://news.bisnis.com/read/20140316/77/211133/warga-dki-tak-perlu-cemas-ini-janji-jokowi-setelah-jadi-presiden
0008,jw,Ungkap kasus 27 juli,"Calon presiden dari partai PDIP, Joko Widodo mengaku akan mengusut kasus Kudatuli (Kerusuhan Dua Puluh Tujuh Juli) apabila dirinya terpilih menjadi presiden",2014-03-15,Zonaisland,http://rf-island.net/zona-umum/zona-informasi/berita/317-jika-jadi-presiden-jokowi-janji-ungkap-kasus-27-juli.html
0009,jw,"menurunkan ketimpangan partisipasi dan kualitas pelayanan pendidikan antarwilayah, gender, sosial, dan ekonomi","menjadi presiden, Jokowi bertekad menurunkan ketimpangan partisipasi dan kualitas pelayanan pendidikan antarwilayah, gender, sosial, dan ekonomi antarsatuan pendidikan yang diselenggarakan oleh pemerintah dan masyarakat",2014-05-02,Detikberita,http://detakberita.com/janji-jokowi-pada-hari-pendidikan-nasional/
0010,jw,"Pinjaman ringan untuk program pendidikan (S1, S2, S3)","ada hibah dan pinjaman ringan jangka panjang untuk program S1, S2, dan S3 dalam negeri dan luar negeri di luar program beasiswa",2014-05-02,Detikberita,http://detakberita.com/janji-jokowi-pada-hari-pendidikan-nasional/
