id,nama,nama_lengkap,url_situs,url_facebook,url_twitter,url_logo_mini,url_logo_small,url_logo_medium
1,Partai NasDem,Partai NasDem,http://www.partainasdem.org/,https://www.facebook.com/pages/Partai-Nasdem/135724689838285,https://twitter.com/NasDem,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/01-17.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/01-100.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/01-200.jpg
2,PKB,Partai Kebangkitan Bangsa,http://www.dpp.pkb.or.id/,https://www.facebook.com/pages/DPP-PKB/167600963307010,https://twitter.com/PKB_News_Online,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/02-17.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/02-100.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/02-200.jpg
3,PKS,Partai Keadilan Sejahtera,http://www.pks.or.id/,https://www.facebook.com/HumasPartaiKeadilanSejahtera,https://twitter.com/PKSejahtera,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/03-17.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/03-100.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/03-200.jpg
4,PDI-P,Partai Demokrasi Indonesia Perjuangan,http://www.pdiperjuangan.or.id/,https://www.facebook.com/DPP.PDI.Perjuangan,https://twitter.com/pdi_perjuangan,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/04-17.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/04-100.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/04-200.jpg
5,Partai Golkar,Partai Golongan Karya,http://www.golkar.or.id/,https://www.facebook.com/DPPPartaiGolkar,https://twitter.com/Golkar5,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/05-17.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/05-100.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/05-200.jpg
6,Partai GERINDRA,Partai Gerakan Indonesia Raya,http://www.partaigerindra.or.id/,https://www.facebook.com/gerindra,https://twitter.com/Gerindra,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/06-17.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/06-100.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/06-200.jpg
7,Demokrat,Partai Demokrat,http://www.demokrat.or.id/,https://www.facebook.com/pdemokrat,https://twitter.com/PDemokrat,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/07-17.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/07-100.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/07-200.jpg
8,PAN,Partai Amanat Nasional,http://www.pan.or.id/,https://www.facebook.com/amanatnasional,https://twitter.com/official_PAN,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/08-17.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/08-100.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/08-200.jpg
9,PPP,Partai Persatuan Pembangunan,http://www.ppp.or.id/,https://www.facebook.com/pppdpp,https://twitter.com/DPP_PPP,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/09-17.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/09-100.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/09-200.jpg
10,Partai Hanura,Partai Hati Nurani Rakyat,http://www.hanura.com/,https://www.facebook.com/hanura.official,https://twitter.com/hanura_official,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/10-17.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/10-100.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/10-200.jpg
14,PBB,Partai Bulan Bintang,http://www.bulan-bintang.org/,https://www.facebook.com/pages/DPP-Partai-Bulan-Bintang-wwwbulan-bintangorg/114716555303039,https://twitter.com/BulanBintangOrg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/14-17.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/14-100.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/14-200.jpg
15,PKPI,Partai Keadilan dan Persatuan Indonesia,http://pkpi.or.id/,https://www.facebook.com/PKPI.MediaCenter,https://twitter.com/SobatBangYos,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/15-17.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/15-100.jpg,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/partai/logos/15-200.jpg
