id,pemilu_id,category_id,province_id,wilayah_id,value
1,1,4,11,1,75308
2,1,5,11,1,78779
3,1,6,11,1,154087
4,1,8,11,1,75
5,1,9,11,1,62
6,1,10,11,1,137
7,1,12,11,1,48
8,1,13,11,1,41
9,1,14,11,1,89
10,1,16,11,1,216
11,1,17,11,1,242
12,1,18,11,1,458
13,1,20,11,1,75647
14,1,21,11,1,79124
15,1,22,11,1,154771
16,1,25,11,1,46066
17,1,26,11,1,52712
18,1,27,11,1,98778
19,1,29,11,1,72
20,1,30,11,1,59
21,1,31,11,1,131
22,1,33,11,1,20
23,1,34,11,1,25
24,1,35,11,1,45
25,1,37,11,1,216
26,1,38,11,1,239
27,1,39,11,1,455
28,1,41,11,1,46374
29,1,42,11,1,53035
30,1,43,11,1,99409
31,1,45,11,1,157452
32,1,46,11,1,40
33,1,47,11,1,58003
34,1,48,11,1,99409
35,1,50,11,1,97733
36,1,51,11,1,1676
37,1,52,11,1,99409
38,1,54,11,1,55551
39,1,55,11,1,42182
40,1,4,11,2,68855
41,1,5,11,2,73239
42,1,6,11,2,142094
43,1,8,11,2,54
44,1,9,11,2,45
45,1,10,11,2,99
46,1,12,11,2,73
47,1,13,11,2,112
48,1,14,11,2,185
49,1,16,11,2,181
50,1,17,11,2,244
51,1,18,11,2,425
52,1,20,11,2,69163
53,1,21,11,2,73640
54,1,22,11,2,142803
55,1,25,11,2,55094
56,1,26,11,2,59365
57,1,27,11,2,114459
58,1,29,11,2,51
59,1,30,11,2,43
60,1,31,11,2,94
61,1,33,11,2,32
62,1,34,11,2,45
63,1,35,11,2,77
64,1,37,11,2,180
65,1,38,11,2,243
66,1,39,11,2,423
67,1,41,11,2,55357
68,1,42,11,2,59696
69,1,43,11,2,115053
70,1,45,11,2,145184
71,1,46,11,2,56
72,1,47,11,2,30075
73,1,48,11,2,115053
74,1,50,11,2,114412
75,1,51,11,2,641
76,1,52,11,2,115053
77,1,54,11,2,73999
78,1,55,11,2,40413
79,1,4,11,3,135005
80,1,5,11,3,136526
81,1,6,11,3,271531
82,1,8,11,3,40
83,1,9,11,3,26
84,1,10,11,3,66
85,1,12,11,3,86
86,1,13,11,3,62
87,1,14,11,3,148
88,1,16,11,3,279
89,1,17,11,3,263
90,1,18,11,3,542
91,1,20,11,3,135410
92,1,21,11,3,136877
93,1,22,11,3,272287
94,1,25,11,3,63058
95,1,26,11,3,70716
96,1,27,11,3,133774
97,1,29,11,3,40
98,1,30,11,3,26
99,1,31,11,3,66
100,1,33,11,3,7
101,1,34,11,3,9
102,1,35,11,3,16
103,1,37,11,3,263
104,1,38,11,3,255
105,1,39,11,3,518
106,1,41,11,3,63368
107,1,42,11,3,71006
108,1,43,11,3,134374
109,1,45,11,3,269789
110,1,46,11,3,204
111,1,47,11,3,135211
112,1,48,11,3,134374
113,1,50,11,3,128149
114,1,51,11,3,6225
115,1,52,11,3,134374
116,1,54,11,3,64601
117,1,55,11,3,63548
118,1,4,11,4,62100
119,1,5,11,4,62334
120,1,6,11,4,124434
121,1,8,11,4,189
122,1,9,11,4,174
123,1,10,11,4,363
124,1,12,11,4,892
125,1,13,11,4,1112
126,1,14,11,4,2004
127,1,16,11,4,914
128,1,17,11,4,959
129,1,18,11,4,1873
130,1,20,11,4,64095
131,1,21,11,4,64579
132,1,22,11,4,128674
133,1,25,11,4,48101
134,1,26,11,4,48468
135,1,27,11,4,96569
136,1,29,11,4,146
137,1,30,11,4,122
138,1,31,11,4,268
139,1,33,11,4,487
140,1,34,11,4,652
141,1,35,11,4,1139
142,1,37,11,4,683
143,1,38,11,4,706
144,1,39,11,4,1389
145,1,41,11,4,49417
146,1,42,11,4,49948
147,1,43,11,4,99365
148,1,45,11,4,127395
149,1,46,11,4,140
150,1,47,11,4,27890
151,1,48,11,4,99365
152,1,50,11,4,98404
153,1,51,11,4,961
154,1,52,11,4,99365
155,1,54,11,4,40522
156,1,55,11,4,57882
157,1,4,11,5,62159
158,1,5,11,5,61398
159,1,6,11,5,123557
160,1,8,11,5,129
161,1,9,11,5,21
162,1,10,11,5,150
163,1,12,11,5,11
164,1,13,11,5,7
165,1,14,11,5,18
166,1,16,11,5,436
167,1,17,11,5,258
168,1,18,11,5,694
169,1,20,11,5,62735
170,1,21,11,5,61684
171,1,22,11,5,124419
172,1,25,11,5,42971
173,1,26,11,5,45059
174,1,27,11,5,88030
175,1,29,11,5,104
176,1,30,11,5,19
177,1,31,11,5,123
178,1,33,11,5,3
179,1,34,11,5,2
180,1,35,11,5,5
181,1,37,11,5,436
182,1,38,11,5,258
183,1,39,11,5,694
184,1,41,11,5,43514
185,1,42,11,5,45338
186,1,43,11,5,88852
187,1,45,11,5,126232
188,1,46,11,5,15
189,1,47,11,5,37365
190,1,48,11,5,88852
191,1,50,11,5,87397
192,1,51,11,5,1455
193,1,52,11,5,88852
194,1,54,11,5,47335
195,1,55,11,5,40062
196,1,4,11,6,123630
197,1,5,11,6,122681
198,1,6,11,6,246311
199,1,8,11,6,76
200,1,9,11,6,67
201,1,10,11,6,143
202,1,12,11,6,0
203,1,13,11,6,0
204,1,14,11,6,0
205,1,16,11,6,1064
206,1,17,11,6,1140
207,1,18,11,6,2204
208,1,20,11,6,124770
209,1,21,11,6,123888
210,1,22,11,6,248658
211,1,25,11,6,80230
212,1,26,11,6,88833
213,1,27,11,6,169063
214,1,29,11,6,71
215,1,30,11,6,61
